,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
294668,"RT @DrummerCafe: Peter Erskine​ is giving a free drum clinic this Saturday, February 10th, @EmoryArts in Atlanta, GA. https://t.co/r9mvd6bO…",Tue Oct 16 11:16:46 +0000 2018,1052133647476826112,False,False,6,16162842.0,"Peter Erskine​ is giving a free drum clinic this Saturday, February 10th, @EmoryArts in Atlanta, GA. https://t.co/r9mvd6bOMl @petererskine",False,[],"[{'screen_name': 'DrummerCafe', 'name': 'Drummer Cafe', 'id': 16162842, 'id_str': '16162842', 'indices': [3, 15]}, {'screen_name': 'EmoryArts', 'name': 'Arts at Emory', 'id': 36379248, 'id_str': '36379248', 'indices': [91, 101]}]",,,6,2,,45,en,0,,5,[]
297949,Hereford 4.30 Atlanta Ablaze👌🏻🔥,Tue Oct 16 11:20:46 +0000 2018,901419229647429632,False,False,0,,,,[],[],,never give up💪🏻,3841,127,,95,en,0,"Wisbech, England",2151,[]
297951,😚 @ First Presbyterian Church of Atlanta https://t.co/V6mfq4xbg3,Tue Oct 16 11:20:45 +0000 2018,522589271,False,False,0,,,,[],[],,"Born & raised n the Dirty D, migrated 2 the Dirty South, living my LIFE like it's GOLDEN...cause IT IS!",58,36,,51,en,5,ATL,4286,[]
297954,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:20:40 +0000 2018,25377285,False,False,126,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,#StillWithHer #PeoplesPresident #NoRacism #NoMisogyny #ActOnClimate #HumanRights #LoveWins #LGBTQ #UniteBlue #TheResistance #America #Indivisible #NyetTrump,250421,6902,,7604,en,322,America,283774,[]
297976,RT @Braves: The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for the 2021 seaso…,Tue Oct 16 11:20:21 +0000 2018,2244034774,False,False,698,21436663.0,The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for th… https://t.co/uiDQx8UcJz,True,"[{'text': 'Braves', 'indices': [24, 31]}]","[{'screen_name': 'Braves', 'name': 'Atlanta Braves', 'id': 21436663, 'id_str': '21436663', 'indices': [3, 10]}]",,Follow my Instagram ➡Caseyman6894 Add me on Snapchat ➡️Johnwatford281 Add me on Kik ➡️John Watford Follow my Musical.ly ➡️Caseyman6894,96775,808,,1230,en,7,,71344,['Braves']
298224,RT @toddstarnes: JUST IN: Atlanta City Council agrees to settle religious liberty case -- offers former fire chief Kelvin Cochran $1.2 mill…,Tue Oct 16 11:19:09 +0000 2018,22667849,False,False,94,15515169.0,JUST IN: Atlanta City Council agrees to settle religious liberty case -- offers former fire chief Kelvin Cochran $1… https://t.co/MpSAtAX0w8,True,[],"[{'screen_name': 'toddstarnes', 'name': 'toddstarnes', 'id': 15515169, 'id_str': '15515169', 'indices': [3, 15]}]",,Why choose to fail when winning is an option!,1324,1112,,1956,en,17,"Small Town,TN",18719,[]
299076,"RT @ArchKennedy: 📢ATTENTION #GA VOTERS📢

Instead of traveling down to assess the damage from #HurricaneMicheal and provide relief, Stacey A…",Tue Oct 16 11:17:32 +0000 2018,227307359,False,False,286,304123273.0,"📢ATTENTION #GA VOTERS📢

Instead of traveling down to assess the damage from #HurricaneMicheal and provide relief, S… https://t.co/2wMBt9sNs0",True,"[{'text': 'GA', 'indices': [28, 31]}, {'text': 'HurricaneMicheal', 'indices': [93, 110]}]","[{'screen_name': 'ArchKennedy', 'name': 'Arch Kennedy', 'id': 304123273, 'id_str': '304123273', 'indices': [3, 15]}]",,"boomer,blue collar,irish,eng.,scotch.love fri nights crown royal+ginger, true stories,love my USA.",143870,9048,,9943,en,347,CONNECTICUT,326759,"['GA', 'HurricaneMicheal']"
302999,@JohnnyMFHopkins @SheedisWayDope Atl the move 🤫,Tue Oct 16 11:20:49 +0000 2018,58144228,False,False,0,,,,[],"[{'screen_name': 'JohnnyMFHopkins', 'name': 'Hopkins', 'id': 255854206, 'id_str': '255854206', 'indices': [0, 16]}, {'screen_name': 'SheedisWayDope', 'name': '2player', 'id': 35494890, 'id_str': '35494890', 'indices': [17, 32]}]",,Inquiries 👉🏽 mountycubookingslmm@gmail.com Baltimore ✈️ATL ✈️ LA📍#LongLiveTurk,29734,2917,,1523,en,38,Snapchat --- jmount21,250332,[]
303034,RT @Braves: The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for the 2021 seaso…,Tue Oct 16 11:20:21 +0000 2018,2244034774,False,False,698,21436663.0,The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for th… https://t.co/uiDQx8UcJz,True,"[{'text': 'Braves', 'indices': [24, 31]}]","[{'screen_name': 'Braves', 'name': 'Atlanta Braves', 'id': 21436663, 'id_str': '21436663', 'indices': [3, 10]}]",,Follow my Instagram ➡Caseyman6894 Add me on Snapchat ➡️Johnwatford281 Add me on Kik ➡️John Watford Follow my Musical.ly ➡️Caseyman6894,96776,808,,1230,en,7,,71346,['Braves']
304483,RT @Distinctboxes: Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,Tue Oct 16 11:17:17 +0000 2018,2324083448,False,False,67,2682105606.0,Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,False,[],"[{'screen_name': 'Distinctboxes', 'name': 'John Evans', 'id': 2682105606, 'id_str': '2682105606', 'indices': [3, 17]}]",,"founder visitscotland , former royal ,special forces,united nations,world health org, sis team",102492,2424,,5002,en-gb,26,Earth,9204,[]
304889,RT @The_Nifemi: Bringing this gif back to your TL. https://t.co/22JYlnLy8W,Tue Oct 16 11:16:49 +0000 2018,585480895,False,False,1311,150772913.0,Bringing this gif back to your TL. https://t.co/22JYlnLy8W,False,[],"[{'screen_name': 'The_Nifemi', 'name': '🐐', 'id': 150772913, 'id_str': '150772913', 'indices': [3, 14]}]",,SC,504,2330,,509,en,39,,153554,[]
304951,"RT @DrummerCafe: Peter Erskine​ is giving a free drum clinic this Saturday, February 10th, @EmoryArts in Atlanta, GA. https://t.co/r9mvd6bO…",Tue Oct 16 11:16:46 +0000 2018,1052133647476826112,False,False,6,16162842.0,"Peter Erskine​ is giving a free drum clinic this Saturday, February 10th, @EmoryArts in Atlanta, GA. https://t.co/r9mvd6bOMl @petererskine",False,[],"[{'screen_name': 'DrummerCafe', 'name': 'Drummer Cafe', 'id': 16162842, 'id_str': '16162842', 'indices': [3, 15]}, {'screen_name': 'EmoryArts', 'name': 'Arts at Emory', 'id': 36379248, 'id_str': '36379248', 'indices': [91, 101]}]",,,6,2,,46,en,0,,5,[]
308084,RT @Braves: The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for the 2021 seaso…,Tue Oct 16 11:20:21 +0000 2018,2244034774,False,False,698,21436663.0,The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for th… https://t.co/uiDQx8UcJz,True,"[{'text': 'Braves', 'indices': [24, 31]}]","[{'screen_name': 'Braves', 'name': 'Atlanta Braves', 'id': 21436663, 'id_str': '21436663', 'indices': [3, 10]}]",,Follow my Instagram ➡Caseyman6894 Add me on Snapchat ➡️Johnwatford281 Add me on Kik ➡️John Watford Follow my Musical.ly ➡️Caseyman6894,96777,808,,1230,en,7,,71347,['Braves']
309939,RT @The_Nifemi: Bringing this gif back to your TL. https://t.co/22JYlnLy8W,Tue Oct 16 11:16:49 +0000 2018,585480895,False,False,1312,150772913.0,Bringing this gif back to your TL. https://t.co/22JYlnLy8W,False,[],"[{'screen_name': 'The_Nifemi', 'name': '🐐', 'id': 150772913, 'id_str': '150772913', 'indices': [3, 14]}]",,SC,504,2330,,509,en,39,,153554,[]
311789,"RT @Wafunya: It is official, starting tonight, Jogoo Road leads to Atlanta! https://t.co/Q2eWoO2ENK",Tue Oct 16 11:15:07 +0000 2018,379171388,False,False,338,226135134.0,"It is official, starting tonight, Jogoo Road leads to Atlanta! https://t.co/Q2eWoO2ENK",False,[],"[{'screen_name': 'Wafunya', 'name': 'FettyWaf1738', 'id': 226135134, 'id_str': '226135134', 'indices': [3, 11]}]",,Manchester United. Mûnjirû.,1387,1026,,921,en,21,Ngurunga-inî,64342,[]
312419,House where someone shot at officers and SWAT standoff in SW Atlanta overnight is the same house where 7 people sho… https://t.co/BTrCSvqfNx,Tue Oct 16 11:14:47 +0000 2018,207159317,True,False,0,,,,[],[],,"I'm A True Believer Of The Second Amendment. Want Gun Control, Hold The Gun With Both Hands And AIM. I BULLET AM SORRY.",0,1196,,277,en,19,,34633,[]
313108,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:20:40 +0000 2018,25377285,False,False,126,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,#StillWithHer #PeoplesPresident #NoRacism #NoMisogyny #ActOnClimate #HumanRights #LoveWins #LGBTQ #UniteBlue #TheResistance #America #Indivisible #NyetTrump,250421,6902,,7604,en,322,America,283775,[]
313134,RT @Braves: The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for the 2021 seaso…,Tue Oct 16 11:20:21 +0000 2018,2244034774,False,False,698,21436663.0,The Atlanta #Braves and manager Brian Snitker have agreed to terms on a two-year contract with a club option for th… https://t.co/uiDQx8UcJz,True,"[{'text': 'Braves', 'indices': [24, 31]}]","[{'screen_name': 'Braves', 'name': 'Atlanta Braves', 'id': 21436663, 'id_str': '21436663', 'indices': [3, 10]}]",,Follow my Instagram ➡Caseyman6894 Add me on Snapchat ➡️Johnwatford281 Add me on Kik ➡️John Watford Follow my Musical.ly ➡️Caseyman6894,96778,808,,1230,en,7,,71348,['Braves']
313203,@Joe_A_Mac Atlanta's been liberal for a loooong time.  I call it the SF/Oakland of the South.,Tue Oct 16 11:19:57 +0000 2018,21374730,False,False,0,,,,[],"[{'screen_name': 'Joe_A_Mac', 'name': 'ProudNavyVeteran 🇺🇸⭐️⭐️⭐️🇺🇸', 'id': 1844541786, 'id_str': '1844541786', 'indices': [0, 10]}]",,"unorthodox follower of Christ Jesus  ###  You care for people and animals alike, O LORD. (Psalm 36:6b, New Living Translation)",282546,3954,,4998,en,31,"Georgia, USA",56862,[]
313234,RT @Distinctboxes: Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,Tue Oct 16 11:19:39 +0000 2018,988703962672041984,False,False,67,2682105606.0,Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,False,[],"[{'screen_name': 'Distinctboxes', 'name': 'John Evans', 'id': 2682105606, 'id_str': '2682105606', 'indices': [3, 17]}]",,🐶 Dog mum AF 🐕 Genteel ecowarrior 🌍 Zombie flick fan 🌱 Vegan 🌳 Rewilding 🍏 Allotmenteer 🌽 Animal rights 🐤 Feminist 💋 Pacifist ☮️ Kundalini yoga 🌞 Minimalism 💟,14019,516,,834,en-gb,4,Scotland,1529,[]
313878,"RT @KARIFAUX: I LOVE U, ATLANTA ❤️ https://t.co/1ZDEEJVVOm",Tue Oct 16 11:18:24 +0000 2018,510743611,False,False,60,181285863.0,"I LOVE U, ATLANTA ❤️ https://t.co/1ZDEEJVVOm",False,[],"[{'screen_name': 'KARIFAUX', 'name': 'The Vibe Formerly Known As', 'id': 181285863, 'id_str': '181285863', 'indices': [3, 12]}]",,habitually happy,71099,734,,576,en,39,atlanta,177663,[]
314583,RT @Distinctboxes: Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,Tue Oct 16 11:17:17 +0000 2018,2324083448,False,False,67,2682105606.0,Amazing Dog Sculpture at Atlanta Botanical Garden https://t.co/Ra8HTE1Xtr,False,[],"[{'screen_name': 'Distinctboxes', 'name': 'John Evans', 'id': 2682105606, 'id_str': '2682105606', 'indices': [3, 17]}]",,"founder visitscotland , former royal ,special forces,united nations,world health org, sis team",102492,2424,,5002,en-gb,26,Earth,9205,[]
315513,"RT @ArchKennedy: 📢ATTENTION #GA VOTERS📢

Instead of traveling down to assess the damage from #HurricaneMicheal and provide relief, Stacey A…",Tue Oct 16 11:16:23 +0000 2018,217575068,False,False,286,304123273.0,"📢ATTENTION #GA VOTERS📢

Instead of traveling down to assess the damage from #HurricaneMicheal and provide relief, S… https://t.co/2wMBt9sNs0",True,"[{'text': 'GA', 'indices': [28, 31]}, {'text': 'HurricaneMicheal', 'indices': [93, 110]}]","[{'screen_name': 'ArchKennedy', 'name': 'Arch Kennedy', 'id': 304123273, 'id_str': '304123273', 'indices': [3, 15]}]",,"Born in N.C.Served in the 101st Airborne Division many years ago.Strong believer in GOD and Country.Conservative.Keep your faith, GOD is in charge.",183280,13899,,15458,en,610,"Va. Beach,Va.",542508,"['GA', 'HurricaneMicheal']"
317193,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:14:55 +0000 2018,90500404,False,False,741,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,oh hey there • JWM ♡,81743,693,,655,en,6,NYC,21041,[]
318048,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:14:27 +0000 2018,63170054,False,False,741,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,“People shouldn't be afraid of their government. Governments should be afraid of their people. https://t.co/VwHAbDA6EW” My views are my own.,778,336,,1077,en,9,"West Haven, CT",13734,[]
318149,good morning @Bharper3407 please come to Atlanta,Tue Oct 16 11:21:02 +0000 2018,1373487686,False,False,0,,,,[],"[{'screen_name': 'Bharper3407', 'name': 'Bryce Harper', 'id': 776049583, 'id_str': '776049583', 'indices': [13, 25]}]",,jackets | braves | falcons | hawks,12706,1573,,2279,en,40,,81373,[]
318473,RT @toddstarnes: JUST IN: Atlanta City Council agrees to settle religious liberty case -- offers former fire chief Kelvin Cochran $1.2 mill…,Tue Oct 16 11:19:09 +0000 2018,22667849,False,False,94,15515169.0,JUST IN: Atlanta City Council agrees to settle religious liberty case -- offers former fire chief Kelvin Cochran $1… https://t.co/MpSAtAX0w8,True,[],"[{'screen_name': 'toddstarnes', 'name': 'toddstarnes', 'id': 15515169, 'id_str': '15515169', 'indices': [3, 15]}]",,Why choose to fail when winning is an option!,1324,1112,,1956,en,17,"Small Town,TN",18720,[]
318968,"RT @KARIFAUX: I LOVE U, ATLANTA ❤️ https://t.co/1ZDEEJVVOm",Tue Oct 16 11:18:24 +0000 2018,510743611,False,False,60,181285863.0,"I LOVE U, ATLANTA ❤️ https://t.co/1ZDEEJVVOm",False,[],"[{'screen_name': 'KARIFAUX', 'name': 'The Vibe Formerly Known As', 'id': 181285863, 'id_str': '181285863', 'indices': [3, 12]}]",,habitually happy,71100,734,,576,en,39,atlanta,177663,[]
323199,"RT @Wafunya: It is official, starting tonight, Jogoo Road leads to Atlanta! https://t.co/Q2eWoO2ENK",Tue Oct 16 11:21:07 +0000 2018,343516880,False,False,338,226135134.0,"It is official, starting tonight, Jogoo Road leads to Atlanta! https://t.co/Q2eWoO2ENK",False,[],"[{'screen_name': 'Wafunya', 'name': 'FettyWaf1738', 'id': 226135134, 'id_str': '226135134', 'indices': [3, 11]}]",,"MANCHESTER UNITED #GGMU

REAL MADRID",2969,4577,,433,en,37,"London, England",24271,[]
323201,"RT @MarilynRMarks1: GA SOS and St. Elex. Bd claims that voting machines are secured by ""robust physical security."" Uh-huh. See how this rep…",Tue Oct 16 11:21:04 +0000 2018,826002046088273920,False,False,71,3081301976.0,"GA SOS and St. Elex. Bd claims that voting machines are secured by ""robust physical security."" Uh-huh. See how this… https://t.co/BmQJxRUSMN",True,[],"[{'screen_name': 'MarilynRMarks1', 'name': 'Marilyn Marks', 'id': 3081301976, 'id_str': '3081301976', 'indices': [3, 18]}]",,woman | brazilian | american | jewish | daughter | wife | friend | real estate | food | art | tikkun olam | fight racism | believe women | block nazis wannabe,98447,572,,877,en,5,"Atlanta, GA",19456,[]
324423,"RT @realAllyMaine: ITS NOT AN ILLUSION!!!!!! ALLY TO HEADLINE SUPER BOWL HALFTIME SHOW #ALLYSuperBowl 🙌🏼❤️🏈
SEE YOU IN ATLANTA, ALLYGATORS!…",Tue Oct 16 11:17:40 +0000 2018,467410136,False,False,353,1.0490271858252022e+18,"ITS NOT AN ILLUSION!!!!!! ALLY TO HEADLINE SUPER BOWL HALFTIME SHOW #ALLYSuperBowl 🙌🏼❤️🏈
SEE YOU IN ATLANTA, ALLYGA… https://t.co/hKGgDlpJjz",True,"[{'text': 'ALLYSuperBowl', 'indices': [87, 101]}]","[{'screen_name': 'realAllyMaine', 'name': 'Ally Maine', 'id': 1049027185825202177, 'id_str': '1049027185825202177', 'indices': [3, 17]}]",,"Don't follow your dreams, follow my twitter proudly South African
lady Gaga is coming!
#Virgo 25-08",3261,930,,873,en,9,"Durban, South Africa",23481,['ALLYSuperBowl']
328248,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:14:34 +0000 2018,765937063317430272,False,False,202,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,,9975,201,,79,en,11,,40566,[]
328249,"RT @ABC: In his old neighborhood, where home prices have skyrocketed due to gentrification, T.I. is on a mission to buy and flip as many bu…",Tue Oct 16 11:21:10 +0000 2018,700471162736873472,False,False,8971,28785486.0,"In his old neighborhood, where home prices have skyrocketed due to gentrification, T.I. is on a mission to buy and… https://t.co/lA23Ae3ukr",True,[],"[{'screen_name': 'ABC', 'name': 'ABC News', 'id': 28785486, 'id_str': '28785486', 'indices': [3, 7]}]",,I didn't choose to be like this,3641,1491,,144,en,1,,19195,[]
328251,RT @jennaraerounds: so heard this girl is coming to the Atlanta show ugh selling my pack 1.  going down streaks!,Tue Oct 16 11:21:09 +0000 2018,3100485187,False,False,2,7.261377044974469e+17,so heard this girl is coming to the Atlanta show ugh selling my pack 1.  going down streaks!,False,[],"[{'screen_name': 'jennaraerounds', 'name': 'jenna!!', 'id': 726137704497446913, 'id_str': '726137704497446913', 'indices': [3, 18]}]",,i like guys who wear their pants backwards :) @imzachherron,41875,429,,1499,en,1,,2654,[]
328254,@Ninja_Atl you really dey fool today.,Tue Oct 16 11:21:09 +0000 2018,451529671,False,False,0,,,,[],"[{'screen_name': 'Ninja_Atl', 'name': 'Nana Safo', 'id': 585480895, 'id_str': '585480895', 'indices': [0, 10]}]",,not a likable character.,1323,3295,,329,en,10,"Accra, Ghana",108698,[]
328744,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/qHyPL5rdFN",Tue Oct 16 11:19:07 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29350,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
328878,"#Abracadabra #OpenSesame #10X  
On Hard📈
A'mor Shanee'
#AmorShanee  
#Detroit #LosAngeles #NewOrleans #Dallas… https://t.co/nmTW22UmJ7",Tue Oct 16 11:18:51 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [55, 66]}, {'text': 'Detroit', 'indices': [69, 77]}, {'text': 'LosAngeles', 'indices': [78, 89]}, {'text': 'NewOrleans', 'indices': [90, 101]}, {'text': 'Dallas', 'indices': [102, 109]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29350,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas']"
328989,"RT @SamuelLJackson: THIS!!!#fightvotersuppression @ Atlanta, Georgia https://t.co/j0HsaRP18O",Tue Oct 16 11:18:41 +0000 2018,824371604406812678,False,False,270,75974281.0,"THIS!!!#fightvotersuppression @ Atlanta, Georgia https://t.co/j0HsaRP18O",False,"[{'text': 'fightvotersuppression', 'indices': [27, 49]}]","[{'screen_name': 'SamuelLJackson', 'name': 'Samuel L. Jackson', 'id': 75974281, 'id_str': '75974281', 'indices': [3, 18]}]",,"Valiant Entertainment fan. I am also a part of the rebel alliance and a browncoat.

You can't take the sky from me.",8663,45,,185,en,0,,2727,['fightvotersuppression']
329376,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:18:17 +0000 2018,278315777,False,False,127,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,"#RESIST #SheWon #StillWithHer #BLM #NeverAgain #NeverBernie #EqualRights #UniteFamilies #NoMAGAers Walker Must Go! #BlueTicketOnly ❤️Ukulele Knit,Dance,Family",54071,9990,,8746,en,218,"Wisconsin, USA",174078,[]
329574,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/LWsgMzk2uQ",Tue Oct 16 11:17:40 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29350,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
329679,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/mTtA6f802D",Tue Oct 16 11:17:34 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29350,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
329844,"#Abracadabra #OpenSesame #10X
On Hard📈
 A'mor Shanee' 
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas… https://t.co/ARQ7z3oNzF",Tue Oct 16 11:17:27 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [55, 66]}, {'text': 'Detroit', 'indices': [67, 75]}, {'text': 'LosAngeles', 'indices': [76, 87]}, {'text': 'NewOrleans', 'indices': [88, 99]}, {'text': 'Dallas', 'indices': [100, 107]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29350,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas']"
330328,"RT @laurynjewel: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:17:14 +0000 2018,2910451562,False,False,127,1.0240046151116964e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/YZgDZGDHMV",True,[],"[{'screen_name': 'laurynjewel', 'name': 'Lauryn Jewel', 'id': 1024004615111696384, 'id_str': '1024004615111696384', 'indices': [3, 15]}]",,🌊〽,8242,63,,497,en,0,"Spring, TX",1050,[]
